true_label,window_size_ms,stride_ms,fold_seed,train_windows,test_windows,val_subjects,best_epoch,val_j,val_f1,val_acc,threshold,test_median_prob,test_pred,test_correct,signed_margin,fold,pid,window_label,train_subjects,validation_subjects_available
0,1500,750,77,14259,392,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.5000000000000002,0.46044921875,0,1,0.03955078125000022,35,37,1500/750,47,9
0,1000,500,77,22609,642,9,1,0.9999999550000009,1.0,1.0,0.4200000000000001,0.36572265625,0,1,0.054277343750000095,35,37,1000/500,47,9
0,2000,500,77,19282,519,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.4500000000000001,0.37841796875,0,1,0.07158203125000012,35,37,2000/500,47,9
0,2000,1000,78,10456,104,9,2,0.9999999550000009,1.0,1.0,0.37000000000000005,0.45751953125,1,0,-0.08751953124999995,36,38,2000/1000,47,9
0,1500,750,78,14974,155,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.46000000000000013,0.50146484375,1,0,-0.04146484374999987,36,38,1500/750,47,9
0,1000,500,78,23834,251,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.39000000000000007,0.402587890625,1,0,-0.012587890624999931,36,38,1000/500,47,9
0,2000,500,78,20147,191,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.37000000000000005,0.468505859375,1,0,-0.09850585937499995,36,38,2000/500,47,9
0,2000,1000,79,10348,169,9,1,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.5000000000000002,0.483154296875,0,1,0.016845703125000222,37,39,2000/1000,47,9
0,1500,750,79,14739,247,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.48000000000000015,0.4638671875,0,1,0.01613281250000015,37,39,1500/750,47,9
0,1000,500,79,23372,409,9,7,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.4200000000000001,0.1884765625,0,1,0.2315234375000001,37,39,1000/500,47,9
0,2000,500,79,20002,306,9,1,0.5499999652500007,0.75,0.7777777777777778,0.4100000000000001,0.395263671875,0,1,0.014736328125000087,37,39,2000/500,47,9
0,2000,1000,80,10791,149,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.27880859375,0,1,0.02119140624999999,38,40,2000/1000,47,9
0,1500,750,80,15413,224,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.34,0.3193359375,0,1,0.020664062500000024,38,40,1500/750,47,9
0,1000,500,80,24463,371,9,2,0.7499999612500008,0.8571428571428571,0.8888888888888888,0.36000000000000004,0.29736328125,0,1,0.06263671875000004,38,40,1000/500,47,9
0,2000,500,80,20832,269,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.31,0.30029296875,0,1,0.009707031249999998,38,40,2000/500,47,9
0,2000,1000,81,10190,110,9,5,0.9999999550000009,1.0,1.0,0.34,0.087158203125,0,1,0.252841796875,39,41,2000/1000,47,9
0,1500,750,81,14555,153,9,4,0.9999999550000009,1.0,1.0,0.33,0.11163330078125,0,1,0.21836669921875002,39,41,1500/750,47,9
0,1000,500,81,23144,248,9,3,0.9999999550000009,1.0,1.0,0.31,0.11798095703125,0,1,0.19201904296875,39,41,1000/500,47,9
0,2000,500,81,19675,221,9,2,0.9999999550000009,1.0,1.0,0.32,0.18701171875,0,1,0.13298828125,39,41,2000/500,47,9
0,2000,1000,82,11385,71,9,4,0.9999999550000009,1.0,1.0,0.4200000000000001,0.250244140625,0,1,0.1697558593750001,40,42,2000/1000,47,9
0,1500,750,82,16216,112,9,5,0.9999999550000009,1.0,1.0,0.5600000000000003,0.225341796875,0,1,0.3346582031250003,40,42,1500/750,47,9
0,1000,500,82,25710,173,9,3,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.35000000000000003,0.19775390625,0,1,0.15224609375000003,40,42,1000/500,47,9
0,2000,500,82,22048,130,9,3,0.9999999550000009,1.0,1.0,0.5400000000000003,0.2138671875,0,1,0.32613281250000026,40,42,2000/500,47,9
0,2000,1000,83,10740,169,9,7,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.4300000000000001,0.09332275390625,0,1,0.3366772460937501,41,43,2000/1000,47,9
0,1500,750,83,15311,243,9,7,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.37000000000000005,0.10760498046875,0,1,0.26239501953125005,41,43,1500/750,47,9
0,1000,500,83,24346,384,9,10,0.9999999550000009,1.0,1.0,0.49000000000000016,0.03411865234375,0,1,0.45588134765625016,41,43,1000/500,47,9
0,2000,500,83,20793,300,9,18,0.9999999550000009,1.0,1.0,0.5400000000000003,0.0117340087890625,0,1,0.5282659912109378,41,43,2000/500,47,9
0,2000,1000,84,10057,182,9,6,0.9999999550000009,1.0,1.0,0.5300000000000002,0.31005859375,0,1,0.21994140625000025,42,44,2000/1000,47,9
